title,link,deadline
ERC CONSOLIDATOR GRANTS,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERC-2025-COG?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",14 January 2025
"Rail – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-CORECOEN-RAIL-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"Maritime ports – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-COMPCOEN-MARP-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"Adapting the transport infrastructure for Union external border checks purposes – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SAFEMOBGEN-EXTBORDER-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"Improving transport infrastructure resilience – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SAFEMOBGEN-RESILIENCE-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
SESAR Common Project One implementation projects – works,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-SESAR-CP-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
Safe and secure parking infrastructure - works,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SAFEMOBCOEN-PARKINGS-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
Safe and secure parking infrastructure - works,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SAFEMOBGEN-PARKINGS-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
Smart applications for transport - ERTMS – unit contribution,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBCOEN-ERTMS-UNITS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"Inland waterways and ports – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-CORECOEN-IWWP-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"Maritime ports – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-CORECOEN-MARP-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"Roads and multimodal freight terminals – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-CORECOEN-ROADS-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"VTMIS – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-VTMIS-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
European Maritime Space / Short-sea shipping – works,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SUSTMOBGEN-EMS-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"eFTI – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-eFTI-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"SESAR digital sky demonstrators for a greener, more scalable and resilient ATM – works","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-SESAR-DSDU-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
Multimodal passenger hubs – Studies,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SUSTMOBGEN-MULTHUB-Studies?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
Other ATM Projects – works,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-SESAR-OP-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"Removing interoperability barriers- studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-REMIB-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"RIS – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-RIS-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"ITS – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-ITS-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
ERTMS – unit contribution,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-ERTMS-UNITS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"EMSWe – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-EMSWe-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"Inland ports – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-COMPCOEN-IWWP-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"Rail – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-COMPCOEN-RAIL-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"Improving transport infrastructure resilience – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SAFEMOBCOEN-RESILIENCE-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"Roads and multimodal freight terminals – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-COMPCOEN-ROADS-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"Road safety – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SAFEMOBCOEN-ROADSAFETY-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
Quantum Chip Technology for stability Pilots,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-Chips-FPA-QAC-1?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
Quantum Chip Technology for high-quality Trapped Ions Pilot,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-Chips-FPA-QAC-2?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
CETPartnership Joint Call 2024,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8581?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",02 April 2025
MSCA Staff Exchanges 2024,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MSCA-2024-SE-01-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",05 February 2025
CircInWater Internationalisation lump sum – 2nd round,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8963?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",12 February 2025
Mobility Management Plans and Behavioural Change,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MISS-2024-CIT-01-03?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",11 February 2025
Integrated peri-urban areas in the transition towards climate neutrality,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MISS-2024-CIT-01-04?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",11 February 2025
Zero-pollution cities,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MISS-2024-CIT-01-02?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",11 February 2025
Rethinking urban spaces towards climate neutrality,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MISS-2024-CIT-01-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",11 February 2025
Support to the activities of the SET Plan Key Action area Renewable fuels and bioenergy,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-13?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
"Resource Efficiency of PV in Production, Use and Disposal","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-07?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
DACCS and BECCS for CO2 removal/negative emissions,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-12?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
PV-integrated electric mobility applications,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-05?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
"Call for proposals on health promotion and prevention of noncommunicable and communicable diseases, including vaccine-preventable and other cancers caused by infections, and on smoke- and aerosol-free environments - (DP/CR-g-24-29)","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-2-b?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",22 January 2025
"Call for proposals on health promotion and prevention of noncommunicable and communicable diseases, including vaccine-preventable and other cancers caused by infections, and on smoke- and aerosol-free environments - (DP/CR-g-24-29)","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-2-a?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",22 January 2025
Call for proposal: action grants to contribute to the organisations of conference and events - (OA-g-24-79),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-7?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",22 January 2025
Call for proposals on Personalised Cancer Medicine - (CR-g-24-99),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-4?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",22 January 2025
Call for proposals on advancing the adoption of artificial intelligence in health (DI-g-24-76),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-6?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",22 January 2025
"Call for proposals to support a comprehensive, prevention-oriented approach to mental health in the Union - (DP-g-24-25)","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-1?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",22 January 2025
Call for Proposals on radiation safety and quality of computed tomography imaging of children and young adults - (CR-g-24-42),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-3?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",22 January 2025
Call for proposals to support the establishment of new networks of expertise on cancer and cancer conditions - (CR-g-24-96),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-5?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",22 January 2025
"Call for proposals on health promotion and prevention of noncommunicable and communicable diseases, including vaccine-preventable and other cancers caused by infections, and on smoke- and aerosol-free environments - (DP/CR-g-24-29)","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-2-c?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",22 January 2025
"Design for adaptability, re-use and deconstruction of buildings, in line with the principles of circular economy (Built4People Partnership)","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D4-02-04?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
"Robotics and other automated solutions for construction, renovation and maintenance in a sustainable built environment (Built4People Partnership)","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D4-02-02?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
Demonstrations of innovative floating wind concepts,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-09?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
Development of next generation synthetic renewable fuel technologies,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-02?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
CCU for the production of fuels,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-11?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
Critical technologies for the future ocean energy farms,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-04?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
BIM-based processes and digital twins for facilitating and optimising circular energy renovation (Built4People Partnership),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D4-02-03?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
Market Uptake Measures of renewable energy systems,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-10?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
"Development of smart concepts of integrated energy driven bio-refineries for co-production of advanced biofuels, bio-chemicals and biomaterials","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-03?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
"Minimisation of environmental, and optimisation of socio-economic impacts in the deployment, operation and decommissioning of offshore wind farms","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-08?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
Industrialisation of sustainable and circular deep renovation workflows (Built4People Partnership),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D4-02-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
"Digital solutions to foster participative design, planning and management of buildings, neighbourhoods and urban districts (Built4People Partnership)","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D4-02-05?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
"Innovative, Community-Integrated PV systems","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-06?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
Digital tools for CSP and solar thermal plants,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
Definition of specifications for cascading funding support services,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8941?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",09 January 2025
Water for Circular Economy,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8901?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",29 April 2025
MSCA Researchers at Risk 2024,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MSCA-2024-RR-01-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",14 January 2025
Biodiversity and Transformative Change,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8681?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",11 April 2025
LIFE 2024 Capacity Building,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/LIFE-2025-TA-CAP?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",28 January 2025
Driving Urban Transitions (DUT) Call 2024,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8441?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",24 April 2025
Call for Pilots within the European data space for smart communities (submission round 2),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8645?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",01 December 2024
Call for financial support to third parties - Educational institutions,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8683?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",20 November 2024
Call for financial support to third parties - Suppliers,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8682?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",20 November 2024
VILNIUS TECH MERIT Project Excellence Scholarship  and Mobility Grant Award Call,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8123?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",30 June 2026
"Appui européen au Programme intégré de reconstruction et
mise à niveau générale des zones sinistrées (2024-2028)","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/182581PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",20 January 2025
VILNIUS TECH MERIT Project Targeted Scholarship Call,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8122?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",15 October 2025
DIGITWIN4CIUE project-Scholarships for the Executive Master in Digital Twins on Infrastructures and cities,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/7981?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",31 December 2024
Renewable Energy financing mechanisms multi technology,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/RENEWFM-2025-INVEST-MULTI?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 March 2025
STAGE Financial Grant Programme Call 4,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8181?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",01 January 2025
Competence Centers-Coordination and Support Action,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-Chips-2024-CSA-CCC-2?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",02 October 2024
"Preparedness Support and Mutual Assistance, Targeting Larger Industrial Operations and Installations","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-ECCC-2024-DEPLOY-CYBER-07-LARGEOPER?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
Support for Implementation of EU Legislation on Cybersecurity and National Cybersecurity Strategies (2024),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-ECCC-2024-DEPLOY-CYBER-07-CYBERSEC-02?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
Enlarging existing or Launching New Cross-Border SOC Platforms,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-ECCC-2024-DEPLOY-CYBER-07-SOCPLAT?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
National SOCs,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-ECCC-2024-DEPLOY-CYBER-07-SOC?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
Strengthening the SOC Ecosystem,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-ECCC-2024-DEPLOY-CYBER-07-SOCSYS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
Development and Deployment of Advanced Key Technologies,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-ECCC-2024-DEPLOY-CYBER-07-KEYTECH?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",21 January 2025
"Call for applications: FRONTIERS Science Journalism Residency Program (round 2)
","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/4481?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",05 March 2025
EIT Food Impact Funding Framework,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/7641?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",13 March 2025
"A European Collaborative Cloud for Cultural Heritage – Innovative tools for digitisation and analysis of dynamic processes, objects and complex combined data","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2024-HERITAGE-ECCCH-01-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",22 January 2025
"A European Collaborative Cloud for Cultural Heritage – Innovative tools for the study, conservation and restoration of heritage objects","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2024-HERITAGE-ECCCH-01-05?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",22 January 2025
"A European Collaborative Cloud for Cultural Heritage – Innovative tools for documenting, interlinking and organising data","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2024-HERITAGE-ECCCH-01-02?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",22 January 2025
A European Collaborative Cloud for Cultural Heritage – Innovative tools for high-value interactions with visitors and heritage objects,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2024-HERITAGE-ECCCH-01-04?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",22 January 2025
A European Collaborative Cloud for Cultural Heritage – Innovative tools for advanced data enrichment,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL2-2024-HERITAGE-ECCCH-01-03?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",22 January 2025
Contribution to the Risk Assessment of Novel Foods and Nutrient Sources in the EU,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EUBA-EFSA-2024-NIF-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",22 January 2025
CIRCULOOS Open Call #1 – Expression of Interest,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/7121?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",31 March 2025
"SKI.F.T.  Skills for Transition - Increasing the Impact of Micro and Small Social Economy Enterprises.
Call for social economy enterprises to receive advisory services and coaching to support green transition.","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/6841?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",01 July 2025
Enterprise Europe Network,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/SMP-COSME-2024-EEN-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=3&pageSize=100&sortBy=startDate",04 February 2025
