title,link,deadline
EP PerMed Fast Track,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9563?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",13 March 2025
European co-development,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CREA-MEDIA-2025-CODEV?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",26 February 2025
Capacity Building in the Field of Sport,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-SPORT-2025-CB?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",05 March 2025
European Cooperation Projects Small Scale,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CREA-CULT-2025-COOP-1?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",13 May 2025
European Cooperation Projects Large Scale,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CREA-CULT-2025-COOP-3?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",13 May 2025
European Cooperation Projects Medium Scale,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CREA-CULT-2025-COOP-2?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",13 May 2025
Not-for-profit European sport events,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-SPORT-2025-SNCESE?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",05 March 2025
Small-scale Partnerships,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-SPORT-2025-SSCP?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",05 March 2025
Cooperation Partnerships,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-SPORT-2025-SCP?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",05 March 2025
Enhancing the role of Civil Society as Governance and Development Actors in Zambia (EGDAZ),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/183222PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",10 February 2025
"Non-state actors and environmental, social and governance (ESG) practises","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/183017PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",06 February 2025
GOBEYOND Innovation,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9542?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",31 January 2025
Zero Tolerance to Corruption,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/183031PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",05 February 2025
Enhancement of natural resources management and reduction of vulnerabilities of local communities in Zimbabwe,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/183200PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",17 February 2025
Support to Timor-Leste CSOs as actors of good governance and development,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/183137PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",05 February 2025
Greener Futures: Promoting Sustainable Agribusiness and Climate-Smart Agriculture in Zimbabwe,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/183211PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",17 February 2025
RURACTIVE Open Call for Innovators,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9383?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",05 February 2025
BEFuture Acceleration Programme: Call for the selection of innovative projects to be awarded financial support under the BEFuture Project —101121580 — SMP-COSME-2022-TOURSME-01 on the topic of Sustainable growth and building resilience in tourism – empowering SMEs to carry out the twin transition.,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9509?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",05 February 2025
Open Call: Textile and clothing industry facilitators in Athens and Rotterdam,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9561?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",04 February 2025
European Festivals,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CREA-MEDIA-2025-FEST?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",11 March 2025
Capacity building in VET in South Mediterranean Countries,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2025-CB-VET-SMC?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",27 February 2025
Erasmus+ Virtual Exchanges in South Mediterranean Countries,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2025-VIRT-EXCH-SMC?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",29 April 2025
Erasmus+ Virtual Exchanges in Neighbourhood East,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2025-VIRT-EXCH-NE?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",29 April 2025
Erasmus+ Virtual Exchanges in Sub-Saharan Africa,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2025-VIRT-EXCH-SSA?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",29 April 2025
Erasmus+ Virtual Exchanges in Western Balkans,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2025-VIRT-EXCH-WB?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",29 April 2025
Alliances for Sectoral Cooperation on Skills (implementing the ‘Blueprint'),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2025-PI-ALL-INNO-BLUEPRINT?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",06 March 2025
Capacity building in VET in Latin America,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2025-CB-VET-LA?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",27 February 2025
Erasmus+ Teacher Academies,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2025-PEX-TEACH-ACA?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",26 March 2025
Alliances for Education and Enterprises,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2025-PI-ALL-INNO-EDU-ENTERP?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",06 March 2025
European Youth Together 2025,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-YOUTH-2025-YOUTH-TOG?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",06 March 2025
Capacity building in VET in Neighbourhood East,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2025-CB-VET-NE?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",27 February 2025
Capacity building in VET in Sub-Saharan Africa,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2025-CB-VET-SSA?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",27 February 2025
Capacity Building in the field of Youth in Sub-Saharan Africa,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-YOUTH-2025-CB-SSA?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",06 March 2025
Capacity Building in the field of Youth in Western Balkans,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-YOUTH-2025-CB-WB?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",06 March 2025
